LLRRRLRLLRRLLRLRLRLRRLRRRLRRRLRLRRLLRLLRRRLRRLRRRLRLRRRLRRLRLRRRLRRRLRRLRLRRRLRRLRRLRRRLRLRLLRLLRLLRLRRRLRRLRRLRRRLRLRRRLRLRLRLRRRLRRRLRLRLRLRRRLRLLRRLLRLLRRLRRRLLRRRLLRRLRLRRLRLLRLLLLRRLLRRLRRLRLLLRRRLRRLRRRLRRLLRLRRRLRLLRRRLLLLRLRRRLRLRRLRRLRRLLRLRLRRLLLRRLLRLRRLRRRR

HFF = (HRR, BSG)
KVT = (TCD, LMD)
MVQ = (PLF, LNM)
KLM = (MGK, MGK)
TLS = (PJN, XVG)
VXH = (QBF, DJX)
DCL = (RQD, LCJ)
HTJ = (PLF, LNM)
CXP = (XXG, KMD)
FPL = (QKV, CBR)
XJF = (BHQ, TGL)
SHS = (CXJ, QPS)
XLV = (LJT, SRT)
SFV = (MKC, NBX)
FCP = (VKK, LXC)
BNX = (TGL, BHQ)
HCX = (XDF, FMP)
BST = (PSJ, TBF)
VPM = (VPN, NMP)
FBT = (KVT, JMT)
RPM = (LPS, BFH)
FRP = (PDN, QBV)
DMF = (LRX, NNL)
TTR = (LVB, RNX)
LSH = (BJX, CQC)
MRP = (NFQ, GRP)
VCK = (MKH, FVL)
FCK = (KSP, PSM)
HSK = (KLB, MHM)
PFM = (MBM, QGM)
MTT = (JQS, RCR)
SRJ = (NTN, VJX)
GTQ = (XTR, DMN)
ZZZ = (XRL, QKM)
CMB = (HTS, NTL)
KRG = (NDF, HLQ)
CST = (LRM, QXJ)
NQJ = (BPB, JCQ)
CRC = (HQS, PTS)
TMS = (DJK, FBT)
LTP = (QNB, HTH)
CSB = (RNG, GTX)
QDC = (HJD, QVP)
BJM = (DKF, DDK)
SSS = (QJP, CGK)
PLV = (LTM, MLC)
LDJ = (RXM, XJS)
HJG = (NRH, NCC)
SMP = (QFQ, PGX)
NPJ = (NRC, DRT)
STQ = (HTF, NVX)
LKD = (LQF, GCH)
LVL = (VDF, TMH)
DBL = (HVC, VPB)
CGP = (HXF, PFD)
AAA = (QKM, XRL)
XVX = (JBH, BXD)
JQX = (KMB, DCT)
NCH = (DSG, RVG)
NSP = (TVG, SNS)
CKD = (QBP, XRG)
SJM = (NRF, XQK)
SFM = (FHQ, BND)
LTF = (NMC, VFD)
HQS = (HKG, RGR)
JQL = (LQN, FMK)
HJV = (RBP, LLX)
LXT = (SSQ, HGX)
JTP = (KRV, XTX)
FMP = (QSM, JTP)
MDG = (BTV, FCP)
MBX = (HTF, NVX)
TMH = (CJP, PTL)
NVT = (SFM, KGF)
BVQ = (BHS, VDC)
TVG = (MSB, JFQ)
MCB = (GHS, TNH)
RTH = (CXP, NFP)
RJM = (FLF, HJV)
BHG = (VLK, BSH)
JCQ = (LQC, LJL)
SJK = (MPB, MPB)
PSS = (VNX, JKV)
CBK = (HCX, GRT)
MHM = (RXR, TLS)
JCF = (XSN, NHK)
SFH = (MCH, NQD)
MDN = (DRT, NRC)
QFQ = (JVR, PJL)
QFS = (DCL, FTZ)
BHH = (LTV, CLV)
NVX = (FHB, NBL)
BND = (RKS, MKB)
DSG = (NCD, HCN)
FMK = (TGN, JPD)
TSM = (CQC, BJX)
FTZ = (LCJ, RQD)
HRM = (SKC, DMS)
VFF = (BVQ, MSS)
GCG = (PJB, BMC)
QVP = (XFG, RTR)
VQL = (JHD, XJP)
QBV = (DBL, CRL)
PFS = (SPD, SPD)
PBT = (CBR, QKV)
JSQ = (FJX, SDN)
MKC = (RNN, CSJ)
VSJ = (HBN, DVD)
RNN = (BKT, PMV)
FVL = (TBX, VTM)
QBM = (CTP, BQM)
JHD = (QHM, NSD)
GLX = (PGX, QFQ)
LFP = (RTG, SQR)
LFC = (XDP, BHH)
FHQ = (RKS, MKB)
NMP = (QXD, RJT)
QGM = (MRR, XBD)
RHP = (MJH, VNK)
FDP = (KBJ, NLD)
NFQ = (SFH, BDK)
MLC = (PTF, KTH)
PFD = (SRJ, DPF)
VNK = (QBK, GBX)
RQD = (MSQ, HRM)
SDN = (BHG, HXR)
RXM = (PBN, CBK)
RVG = (NCD, HCN)
VGR = (JTX, TXQ)
PGX = (PJL, JVR)
XBR = (CKL, BLJ)
FQR = (XPF, VCP)
RLD = (PHS, BCT)
THQ = (QBF, DJX)
KBN = (RFS, LKD)
CQN = (XBS, RCP)
DCT = (NRM, RDR)
GRP = (SFH, BDK)
RJB = (PKG, FRR)
PSB = (XRD, TCT)
TDP = (VGR, FLB)
JBB = (BXM, NVT)
BHQ = (RBJ, DSL)
VJX = (VFF, TXL)
VRH = (GPX, PVX)
NPX = (KSH, CFG)
HHF = (CKL, BLJ)
TKV = (SBS, TXK)
LTM = (KTH, PTF)
